index,move_name,move_slug,inferred_type,source_zip,source_file,source_bytes,compressed_file,compressed_bytes,compressed_duration_seconds
1,10 Mil Volt Thunderbolt part 1,10-mil-volt-thunderbolt-part-1,electric,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,10 Mil Volt Thunderbolt part 1.mp3,227277,attack-move-sfx-compressed/electric/10-mil-volt-thunderbolt-part-1.ogg,2958,1.157
2,10 Mil Volt Thunderbolt part 2,10-mil-volt-thunderbolt-part-2,electric,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,10 Mil Volt Thunderbolt part 2.mp3,302509,attack-move-sfx-compressed/electric/10-mil-volt-thunderbolt-part-2.ogg,2982,1.157
3,10 Mil Volt Thunderbolt part 3,10-mil-volt-thunderbolt-part-3,electric,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,10 Mil Volt Thunderbolt part 3.mp3,792567,attack-move-sfx-compressed/electric/10-mil-volt-thunderbolt-part-3.ogg,2785,1.157
4,10 Mil Volt Thunderbolt,10-mil-volt-thunderbolt,electric,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,10 Mil Volt Thunderbolt.mp3,1130055,attack-move-sfx-compressed/electric/10-mil-volt-thunderbolt.ogg,2932,1.157
5,Absorb part 1,absorb-part-1,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Absorb part 1.mp3,209479,attack-move-sfx-compressed/grass/absorb-part-1.ogg,2843,1.157
6,Absorb,absorb,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Absorb.mp3,335898,attack-move-sfx-compressed/grass/absorb.ogg,2839,1.157
7,Accelerock,accelerock,rock,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Accelerock.mp3,161408,attack-move-sfx-compressed/rock/accelerock.ogg,2707,1.157
8,Acid Armor,acid-armor,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Armor.mp3,183351,attack-move-sfx-compressed/poison/acid-armor.ogg,2799,1.157
9,Acid Downpour part 1,acid-downpour-part-1,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Downpour part 1.mp3,162474,attack-move-sfx-compressed/poison/acid-downpour-part-1.ogg,3159,1.157
10,Acid Downpour part 2,acid-downpour-part-2,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Downpour part 2.mp3,424743,attack-move-sfx-compressed/poison/acid-downpour-part-2.ogg,2792,1.157
11,Acid Downpour part 3,acid-downpour-part-3,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Downpour part 3.mp3,665070,attack-move-sfx-compressed/poison/acid-downpour-part-3.ogg,2858,1.157
12,Acid Downpour,acid-downpour,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Downpour.mp3,1057938,attack-move-sfx-compressed/poison/acid-downpour.ogg,3169,1.157
13,Acid Spray,acid-spray,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid Spray.mp3,227238,attack-move-sfx-compressed/poison/acid-spray.ogg,2843,1.157
14,Acid,acid,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acid.mp3,211551,attack-move-sfx-compressed/poison/acid.ogg,2718,1.157
15,Acrobatics,acrobatics,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acrobatics.mp3,215744,attack-move-sfx-compressed/flying/acrobatics.ogg,2744,1.157
16,Acupressure part 1,acupressure-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acupressure part 1.mp3,236658,attack-move-sfx-compressed/normal/acupressure-part-1.ogg,2839,1.157
17,Acupressure,acupressure,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Acupressure.mp3,323370,attack-move-sfx-compressed/normal/acupressure.ogg,2834,1.157
18,Aerial Ace,aerial-ace,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aerial Ace.mp3,190666,attack-move-sfx-compressed/flying/aerial-ace.ogg,2758,1.157
19,Aeroblast,aeroblast,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aeroblast.mp3,273211,attack-move-sfx-compressed/normal/aeroblast.ogg,2884,1.157
20,After You,after-you,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,After You.mp3,189619,attack-move-sfx-compressed/normal/after-you.ogg,2524,1.157
21,Agility part 1,agility-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Agility part 1.mp3,216797,attack-move-sfx-compressed/normal/agility-part-1.ogg,2805,1.157
22,Agility,agility,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Agility.mp3,290971,attack-move-sfx-compressed/normal/agility.ogg,2806,1.157
23,Air Cutter,air-cutter,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Air Cutter.mp3,256495,attack-move-sfx-compressed/flying/air-cutter.ogg,2845,1.157
24,Air Slash,air-slash,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Air Slash.mp3,285750,attack-move-sfx-compressed/flying/air-slash.ogg,2743,1.157
25,All-Out Pummeling part 1,all-out-pummeling-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,All-Out Pummeling part 1.mp3,189649,attack-move-sfx-compressed/normal/all-out-pummeling-part-1.ogg,3212,1.157
26,All-Out Pummeling part 2,all-out-pummeling-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,All-Out Pummeling part 2.mp3,402809,attack-move-sfx-compressed/normal/all-out-pummeling-part-2.ogg,2751,1.157
27,All-Out Pummeling part 3,all-out-pummeling-part-3,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,All-Out Pummeling part 3.mp3,718368,attack-move-sfx-compressed/normal/all-out-pummeling-part-3.ogg,2886,1.157
