id,name,slug,generation,region,type,type2,tier,assigned_move,assigned_move_type,assignment_reason,sfx_file,sfx_bytes,source_move_file
1,Bulbasaur,bulbasaur,1,Kanto,grass,poison,1,Vine Whip,grass,signature,pokemon-sfx-by-species/gen-1-kanto/0001_bulbasaur__vine-whip.ogg,2605,attack-move-sfx-compressed/grass/vine-whip.ogg
2,Ivysaur,ivysaur,1,Kanto,grass,poison,2,Razor Leaf,grass,signature,pokemon-sfx-by-species/gen-1-kanto/0002_ivysaur__razor-leaf.ogg,2783,attack-move-sfx-compressed/grass/razor-leaf.ogg
3,Venusaur,venusaur,1,Kanto,grass,poison,3,Frenzy Plant,grass,signature,pokemon-sfx-by-species/gen-1-kanto/0003_venusaur__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
4,Charmander,charmander,1,Kanto,fire,,1,Ember,fire,signature,pokemon-sfx-by-species/gen-1-kanto/0004_charmander__ember.ogg,2661,attack-move-sfx-compressed/fire/ember.ogg
5,Charmeleon,charmeleon,1,Kanto,fire,,2,Flamethrower,fire,signature,pokemon-sfx-by-species/gen-1-kanto/0005_charmeleon__flamethrower.ogg,2770,attack-move-sfx-compressed/fire/flamethrower.ogg
6,Charizard,charizard,1,Kanto,fire,flying,3,Blast Burn,fire,signature,pokemon-sfx-by-species/gen-1-kanto/0006_charizard__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
7,Squirtle,squirtle,1,Kanto,water,,1,Water Gun,water,signature,pokemon-sfx-by-species/gen-1-kanto/0007_squirtle__water-gun.ogg,2733,attack-move-sfx-compressed/water/water-gun.ogg
8,Wartortle,wartortle,1,Kanto,water,,2,Water Pulse,water,signature,pokemon-sfx-by-species/gen-1-kanto/0008_wartortle__water-pulse.ogg,2756,attack-move-sfx-compressed/water/water-pulse.ogg
9,Blastoise,blastoise,1,Kanto,water,,3,Hydro Pump,water,signature,pokemon-sfx-by-species/gen-1-kanto/0009_blastoise__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
10,Caterpie,caterpie,1,Kanto,bug,,1,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0010_caterpie__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
11,Metapod,metapod,1,Kanto,bug,,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0011_metapod__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
12,Butterfree,butterfree,1,Kanto,bug,flying,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0012_butterfree__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
13,Weedle,weedle,1,Kanto,bug,poison,1,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0013_weedle__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
14,Kakuna,kakuna,1,Kanto,bug,poison,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0014_kakuna__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
15,Beedrill,beedrill,1,Kanto,bug,poison,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0015_beedrill__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
16,Pidgey,pidgey,1,Kanto,normal,flying,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0016_pidgey__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
17,Pidgeotto,pidgeotto,1,Kanto,normal,flying,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0017_pidgeotto__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
18,Pidgeot,pidgeot,1,Kanto,normal,flying,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0018_pidgeot__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
19,Rattata,rattata,1,Kanto,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0019_rattata__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
20,Raticate,raticate,1,Kanto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0020_raticate__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
21,Spearow,spearow,1,Kanto,normal,flying,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0021_spearow__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
22,Fearow,fearow,1,Kanto,normal,flying,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0022_fearow__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
23,Ekans,ekans,1,Kanto,poison,,2,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0023_ekans__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
24,Arbok,arbok,1,Kanto,poison,,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0024_arbok__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
25,Pikachu,pikachu,1,Kanto,electric,,2,Catastropika,electric,signature,pokemon-sfx-by-species/gen-1-kanto/0025_pikachu__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
26,Raichu,raichu,1,Kanto,electric,,3,Thunderbolt,electric,signature,pokemon-sfx-by-species/gen-1-kanto/0026_raichu__thunderbolt.ogg,2796,attack-move-sfx-compressed/electric/thunderbolt.ogg
27,Sandshrew,sandshrew,1,Kanto,ground,,2,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0027_sandshrew__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
28,Sandslash,sandslash,1,Kanto,ground,,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0028_sandslash__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
29,Nidoran-F,nidoran-f,1,Kanto,poison,,1,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0029_nidoran-f__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
30,Nidorina,nidorina,1,Kanto,poison,,2,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0030_nidorina__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
31,Nidoqueen,nidoqueen,1,Kanto,poison,ground,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0031_nidoqueen__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
32,Nidoran-M,nidoran-m,1,Kanto,poison,,1,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0032_nidoran-m__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
33,Nidorino,nidorino,1,Kanto,poison,,2,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0033_nidorino__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
34,Nidoking,nidoking,1,Kanto,poison,ground,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0034_nidoking__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
35,Clefairy,clefairy,1,Kanto,fairy,,2,Moonblast,fairy,type-preferred:fairy,pokemon-sfx-by-species/gen-1-kanto/0035_clefairy__moonblast.ogg,2861,attack-move-sfx-compressed/fairy/moonblast.ogg
36,Clefable,clefable,1,Kanto,fairy,,3,Moonblast,fairy,type-preferred:fairy,pokemon-sfx-by-species/gen-1-kanto/0036_clefable__moonblast.ogg,2861,attack-move-sfx-compressed/fairy/moonblast.ogg
37,Vulpix,vulpix,1,Kanto,fire,,2,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0037_vulpix__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
38,Ninetales,ninetales,1,Kanto,fire,,3,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0038_ninetales__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
39,Jigglypuff,jigglypuff,1,Kanto,normal,fairy,2,Disarming Voice,fairy,signature,pokemon-sfx-by-species/gen-1-kanto/0039_jigglypuff__disarming-voice.ogg,3125,attack-move-sfx-compressed/fairy/disarming-voice.ogg
40,Wigglytuff,wigglytuff,1,Kanto,normal,fairy,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0040_wigglytuff__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
41,Zubat,zubat,1,Kanto,poison,flying,1,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0041_zubat__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
42,Golbat,golbat,1,Kanto,poison,flying,1,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0042_golbat__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
43,Oddish,oddish,1,Kanto,grass,poison,1,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0043_oddish__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
44,Gloom,gloom,1,Kanto,grass,poison,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0044_gloom__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
45,Vileplume,vileplume,1,Kanto,grass,poison,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0045_vileplume__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
46,Paras,paras,1,Kanto,bug,grass,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0046_paras__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
47,Parasect,parasect,1,Kanto,bug,grass,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0047_parasect__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
48,Venonat,venonat,1,Kanto,bug,poison,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0048_venonat__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
49,Venomoth,venomoth,1,Kanto,bug,poison,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-1-kanto/0049_venomoth__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
50,Diglett,diglett,1,Kanto,ground,,2,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0050_diglett__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
51,Dugtrio,dugtrio,1,Kanto,ground,,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0051_dugtrio__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
