index,file,source_sheet,source_tile_1_based,year,name,model_type,width,height
1,001.png,1.png,1,1804,Penydarren Locomotive,Early steam locomotive,267,180
2,002.png,1.png,2,1812,Salamanca,Rack steam locomotive,275,173
3,003.png,1.png,3,1813,Puffing Billy,Early steam locomotive,259,179
4,004.png,1.png,4,1814,Blücher,Early steam locomotive,274,174
5,005.png,1.png,5,1825,Locomotion No. 1,Steam locomotive,290,173
6,006.png,1.png,6,1829,Stephenson’s Rocket,Steam locomotive,285,185
7,007.png,1.png,7,1830,Planet,2-2-0 steam locomotive,270,158
8,008.png,1.png,8,1831,John Bull,2-4-0 steam locomotive,270,152
9,009.png,1.png,9,1835,Adler,2-2-2 steam locomotive,275,149
10,010.png,1.png,10,1837,North Star,2-2-2 steam locomotive,310,157
11,011.png,1.png,11,1838,Lion,0-4-2 steam locomotive,288,150
12,012.png,1.png,12,1841,Firefly Class,2-2-2 steam locomotive,273,139
13,013.png,1.png,13,1845,Patentee Type,2-2-2 steam locomotive,264,144
14,014.png,1.png,14,1847,Jenny Lind,2-2-2 steam locomotive,290,143
15,015.png,1.png,15,1851,Crampton Locomotive,4-2-0 steam locomotive,306,141
16,016.png,1.png,16,1855,Bury Bar-Frame Type,4-2-0 / 2-2-0 steam locomotive,287,136
17,017.png,1.png,17,1862,Stirling Single Precursor,4-2-2 steam locomotive,277,141
18,018.png,1.png,18,1863,Metropolitan Railway A Class,4-4-0T condensing steam locomotive,300,137
19,019.png,1.png,19,1868,Union Pacific No. 119,4-4-0 steam locomotive,310,137
20,020.png,1.png,20,1868,Central Pacific Jupiter No. 60,4-4-0 steam locomotive,320,134
21,021.png,1.png,21,1869,Le Général / American 4-4-0 Type,4-4-0 steam locomotive,276,143
22,022.png,1.png,22,1870,Fairlie Double-Ended Locomotive,0-4-4-0T articulated steam locomotive,283,127
23,023.png,1.png,23,1873,Mason Bogie,2-6-6T articulated steam locomotive,279,129
24,024.png,1.png,24,1875,Baldwin Narrow-Gauge Mogul,2-6-0 steam locomotive,298,127
25,025.png,1.png,25,1885,Webb Compound Type,Compound steam locomotive,301,123
26,026.png,2.png,1,1889,Consolidation Type,2-8-0 steam locomotive,323,123
